# Pathway	5492_S3_Abundance	5501_S5_Abundance
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|g__Massilia.s__Massilia_sp_BSC265	715.0309148340	0
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|g__Massilia.s__Massilia_sp_LC238	2558.1892156346	2099.4890014298
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|unclassified	614.5740668508	1130.1159447830
PWY-6737: starch degradation V|g__Caulobacter.s__Caulobacter_sp_774	225.9284914582	517.1415757043
PWY-6737: starch degradation V|unclassified	612.6746955332	1134.3284628030
PWY-6749: CMP-legionaminate biosynthesis I|unclassified	0	83.4546954396
PWY-6803: phosphatidylcholine acyl editing|g__Acidovorax.s__Acidovorax_avenae	720.4064447468	1818.5558345596
PWY-6803: phosphatidylcholine acyl editing|g__Massilia.s__Massilia_sp_LC238	3703.8338398536	2325.1316319020
PWY-6803: phosphatidylcholine acyl editing|unclassified	1251.8579778043	1946.6444424547
PWY-6823: molybdenum cofactor biosynthesis|unclassified	0	81.2144624575
PWY-6837: fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)|unclassified	487.6923051430	406.4007536296
PWY-6859: all-trans-farnesol biosynthesis|unclassified	79.1088830953	110.0896905317
PWY-6897: thiamin salvage II|unclassified	495.7379458654	348.9252577286
PWY-6936: seleno-amino acid biosynthesis|g__Acidovorax.s__Acidovorax_avenae	0	761.9982176745
PWY-6936: seleno-amino acid biosynthesis|g__Massilia.s__Massilia_sp_BSC265	1319.3605606487	0
PWY-6936: seleno-amino acid biosynthesis|g__Massilia.s__Massilia_sp_LC238	2870.3105401619	2610.5790542586
PWY-6936: seleno-amino acid biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	20.9039400516	23.8665267997
PWY-6936: seleno-amino acid biosynthesis|unclassified	1003.2531183497	1279.4531502537
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|unclassified	573.2148953120	584.2353933038
PWY-7094: fatty acid salvage|unclassified	1117.6168023736	924.2072743801
PWY-7097: vanillin and vanillate degradation I|unclassified	263.8511640916	0
PWY-7098: vanillin and vanillate degradation II|unclassified	247.9671285841	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Acidovorax.s__Acidovorax_avenae	1282.1077784070	2960.5195077977
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Caulobacter.s__Caulobacter_sp_774	374.1529052921	688.9270900666
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Massilia.s__Massilia_sp_BSC265	2345.6670757441	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Massilia.s__Massilia_sp_LC238	4183.5750838201	3795.2829086963
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Sphingobium.s__Sphingobium_yanoikuyae	41.8373046927	90.4606774100
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	1699.1413980045	1923.6861569057
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type|unclassified	41.4848480210	133.2302730939
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type|unclassified	345.7817437001	216.8137100144
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	366.8954412143	895.8820683359
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	293.7028957422	663.8291546464
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Massilia.s__Massilia_sp_BSC265	1354.2873788073	0
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Massilia.s__Massilia_sp_LC238	2714.3672466536	2608.0973803224
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	0	54.9518976080
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|unclassified	511.2324545272	993.0241342842
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II|unclassified	323.5272266727	0
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|g__Acidovorax.s__Acidovorax_avenae	390.7136326260	834.3462912727
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|g__Caulobacter.s__Caulobacter_sp_774	246.4041832027	553.8602248417
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|g__Massilia.s__Massilia_sp_BSC265	1056.6652137504	0
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|g__Massilia.s__Massilia_sp_LC238	1909.5082357562	1979.9153333732
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|g__Sphingobium.s__Sphingobium_yanoikuyae	0	38.3803131771
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|unclassified	330.7561950332	746.5838244354
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|unclassified	470.3745560173	922.3574133920
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Massilia.s__Massilia_sp_BSC265	986.8650846456	0
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Massilia.s__Massilia_sp_LC238	2577.7755006409	2140.7603705494
PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified	394.3987851042	495.4391588619
PWY-7208: superpathway of pyrimidine nucleobases salvage|g__Acidovorax.s__Acidovorax_avenae	1224.1304916849	2473.7577817385
PWY-7208: superpathway of pyrimidine nucleobases salvage|g__Caulobacter.s__Caulobacter_sp_774	270.3823251208	631.4465620217
PWY-7208: superpathway of pyrimidine nucleobases salvage|g__Massilia.s__Massilia_sp_BSC265	573.1489168398	0
PWY-7208: superpathway of pyrimidine nucleobases salvage|g__Massilia.s__Massilia_sp_LC238	2640.0129189399	2212.5265797846
PWY-7208: superpathway of pyrimidine nucleobases salvage|unclassified	356.1070430736	607.8577231455
PWY-7209: superpathway of pyrimidine ribonucleosides degradation|unclassified	150.2759057636	215.7570691992
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|unclassified	503.8920953881	1020.8500469126
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis|unclassified	503.3403358607	950.9022936686
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Acidovorax.s__Acidovorax_avenae	565.3974631091	1413.0038954352
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	264.1155798469	521.4917040990
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Massilia.s__Massilia_sp_BSC265	1214.7800847635	0
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Massilia.s__Massilia_sp_LC238	2644.7260723180	2380.2565010174
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	34.4813210462	57.8875321366
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	686.5344814924	920.2212863203
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Acidovorax.s__Acidovorax_avenae	1524.2020171176	2866.2031289944
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Caulobacter.s__Caulobacter_sp_774	309.2682912491	803.9594130502
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Massilia.s__Massilia_sp_BSC265	1949.6445399472	0
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Massilia.s__Massilia_sp_LC238	3151.5077985174	3597.9562330654
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Sphingobium.s__Sphingobium_yanoikuyae	63.8308939672	150.0321041604
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified	346.0681393432	744.9307344270
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Acidovorax.s__Acidovorax_avenae	1092.2398272435	2399.6545758212
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	261.5322853325	564.0355191614
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Massilia.s__Massilia_sp_BSC265	1447.7197487747	0
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Massilia.s__Massilia_sp_LC238	2409.5100511142	2514.1635962906
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	33.0925208036	60.0286671147
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	571.1819597304	806.0367784812
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Acidovorax.s__Acidovorax_avenae	1524.2020171176	2866.2031289944
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Caulobacter.s__Caulobacter_sp_774	309.2682912491	803.9594130502
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Massilia.s__Massilia_sp_BSC265	1949.6445399472	0
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Massilia.s__Massilia_sp_LC238	3151.5077985174	3597.9562330654
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Sphingobium.s__Sphingobium_yanoikuyae	63.8308939672	150.0321041604
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	346.0681393432	744.9307344270
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	1255.9640389518	2636.6237374960
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	288.2785144760	644.8423767596
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Massilia.s__Massilia_sp_BSC265	1635.9406268470	0
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Massilia.s__Massilia_sp_LC238	2736.7283444744	2892.5362676195
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	40.6442331063	76.4064193542
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|unclassified	444.9390630589	803.8722211017
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	427.6981314222	1063.5239002519
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Massilia.s__Massilia_sp_BSC265	1294.4534705024	0
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	30.2659238121	61.2348553362
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|unclassified	522.3872406285	665.4868420271
PWY-7234: inosine-5'-phosphate biosynthesis III|g__Acidovorax.s__Acidovorax_avenae	644.8297550265	1442.4294950813
PWY-7234: inosine-5'-phosphate biosynthesis III|g__Caulobacter.s__Caulobacter_sp_774	238.6637090861	500.5550766740
PWY-7234: inosine-5'-phosphate biosynthesis III|g__Massilia.s__Massilia_sp_BSC265	1083.0122258610	0
PWY-7234: inosine-5'-phosphate biosynthesis III|g__Massilia.s__Massilia_sp_LC238	2662.0190481630	2065.7083325563
PWY-7234: inosine-5'-phosphate biosynthesis III|unclassified	429.3104924812	575.4264291122
PWY-7242: D-fructuronate degradation|unclassified	119.3284201330	86.1652555143
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Acidovorax.s__Acidovorax_avenae	670.9341992271	1607.4471651705
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Caulobacter.s__Caulobacter_sp_774	267.2237932343	579.2802744564
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Sphingobium.s__Sphingobium_yanoikuyae	0	54.6123349089
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|unclassified	604.4428646529	804.3008987794
PWY-7254: TCA cycle VII (acetate-producers)|unclassified	145.9110947278	714.6489048468
PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)|g__Acidovorax.s__Acidovorax_avenae	329.4690669092	906.2074250574
PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)|g__Massilia.s__Massilia_sp_BSC265	609.3563867931	0
PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)|g__Massilia.s__Massilia_sp_LC238	3349.9239899404	2265.5634860191
PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)|unclassified	925.3225827647	1355.5274373363
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)|g__Acidovorax.s__Acidovorax_avenae	242.6804794193	678.2989862765
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)|unclassified	808.1801132074	1523.8790300602
PWY-7279: aerobic respiration II (cytochrome c) (yeast)|g__Acidovorax.s__Acidovorax_avenae	1277.4195812681	3738.2025087158
PWY-7279: aerobic respiration II (cytochrome c) (yeast)|g__Caulobacter.s__Caulobacter_sp_774	429.6489784376	758.2183945137
PWY-7279: aerobic respiration II (cytochrome c) (yeast)|g__Massilia.s__Massilia_sp_BSC265	1573.8252064203	0
PWY-7279: aerobic respiration II (cytochrome c) (yeast)|g__Massilia.s__Massilia_sp_LC238	7028.7479217911	5253.2872927174
PWY-7279: aerobic respiration II (cytochrome c) (yeast)|g__Sphingobium.s__Sphingobium_yanoikuyae	56.9603334906	58.6394064273
PWY-7279: aerobic respiration II (cytochrome c) (yeast)|unclassified	1007.1107471984	1566.7872275495
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)|unclassified	261.3329743912	596.8234734225
PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)|unclassified	58.2373971213	0
PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis|unclassified	149.2381448888	218.0925486331
PWY-7316: dTDP-N-acetylviosamine biosynthesis|unclassified	524.4029080898	709.7122859036
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis|unclassified	367.3105328155	731.1536672932
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis|unclassified	473.0792446384	802.9135286854
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)|unclassified	379.5865155060	247.9165173122
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)|unclassified	154.2274673494	305.6008659969
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)|g__Acidovorax.s__Acidovorax_avenae	1204.0485756427	3116.5022392936
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)|g__Caulobacter.s__Caulobacter_sp_774	291.1593023651	670.4646364173
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)|g__Massilia.s__Massilia_sp_BSC265	86.8334006528	0
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)|g__Massilia.s__Massilia_sp_LC238	195.3087786332	230.7311432141
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)|unclassified	718.5776325258	1017.1523370498
PWY-7392: taxadiene biosynthesis (engineered)|unclassified	107.6038527087	177.2807482595
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Acidovorax.s__Acidovorax_avenae	1020.4890429330	2257.4011073074
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Caulobacter.s__Caulobacter_sp_774	274.1842766764	579.7497709630
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Massilia.s__Massilia_sp_BSC265	1393.1386335502	0
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Massilia.s__Massilia_sp_LC238	2919.1750612996	2635.6151149008
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Sphingobium.s__Sphingobium_yanoikuyae	34.2974598507	58.3795139452
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|unclassified	435.0791673872	574.6212927414
PWY-7431: aromatic biogenic amine degradation (bacteria)|unclassified	54.7879190334	0
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)|unclassified	30.9062593491	78.3894704041
PWY-7560: methylerythritol phosphate pathway II|unclassified	94.6998858414	165.1074437165
PWY-7616: methanol oxidation to carbon dioxide|unclassified	187.6182840657	210.2748909402
PWY-7663: gondoate biosynthesis (anaerobic)|g__Acidovorax.s__Acidovorax_avenae	2179.3561679002	5395.4274969100
PWY-7663: gondoate biosynthesis (anaerobic)|g__Caulobacter.s__Caulobacter_sp_774	394.1475911833	852.5859229289
PWY-7663: gondoate biosynthesis (anaerobic)|g__Massilia.s__Massilia_sp_BSC265	76.1894634080	0
PWY-7663: gondoate biosynthesis (anaerobic)|g__Massilia.s__Massilia_sp_LC238	169.6111082568	201.3040431937
PWY-7663: gondoate biosynthesis (anaerobic)|g__Sphingobium.s__Sphingobium_yanoikuyae	17.1784393297	76.3613072643
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	1555.0937075966	1845.3602114323
PWY-7664: oleate biosynthesis IV (anaerobic)|g__Acidovorax.s__Acidovorax_avenae	1518.4683383678	4049.1594821309
PWY-7664: oleate biosynthesis IV (anaerobic)|g__Caulobacter.s__Caulobacter_sp_774	377.3121996478	824.4430208552
PWY-7664: oleate biosynthesis IV (anaerobic)|unclassified	686.5686580004	1014.2293824122
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)|unclassified	382.2009690045	693.1774992620
PWY-841: superpathway of purine nucleotides de novo biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	628.1060584477	1550.1453042278
PWY-841: superpathway of purine nucleotides de novo biosynthesis I|g__Massilia.s__Massilia_sp_BSC265	1115.2712490438	0
PWY-841: superpathway of purine nucleotides de novo biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	0	63.8631483732
PWY-841: superpathway of purine nucleotides de novo biosynthesis I|unclassified	424.0407758874	677.1937121754
PWY0-1061: superpathway of L-alanine biosynthesis|unclassified	319.1611879290	511.1241885226
PWY0-1261: anhydromuropeptides recycling|g__Acidovorax.s__Acidovorax_avenae	319.4415745739	839.1622052852
PWY0-1261: anhydromuropeptides recycling|g__Massilia.s__Massilia_sp_BSC265	615.1912230051	0
PWY0-1261: anhydromuropeptides recycling|g__Massilia.s__Massilia_sp_LC238	2984.5656614216	2030.8964198146
PWY0-1261: anhydromuropeptides recycling|unclassified	969.7414468646	1670.7137069157
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation|unclassified	674.0705710157	183.0068460734
PWY0-1296: purine ribonucleosides degradation|g__Massilia.s__Massilia_sp_BSC265	1522.8454173315	0
PWY0-1296: purine ribonucleosides degradation|g__Massilia.s__Massilia_sp_LC238	2566.6625719905	2455.4554780041
PWY0-1296: purine ribonucleosides degradation|unclassified	295.7879597805	386.9539518615
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|unclassified	216.2217671299	300.2566837941
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation|unclassified	219.0852427545	299.8371028289
PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified	202.5013687442	684.5860090104
PWY0-1479: tRNA processing|g__Acidovorax.s__Acidovorax_avenae	253.0328160186	630.9996977062
PWY0-1479: tRNA processing|g__Caulobacter.s__Caulobacter_sp_774	264.5833455018	636.3163197353
PWY0-1479: tRNA processing|g__Massilia.s__Massilia_sp_BSC265	877.4645137470	0
PWY0-1479: tRNA processing|g__Massilia.s__Massilia_sp_LC238	2454.5240046128	2137.4115362110
PWY0-1479: tRNA processing|unclassified	233.0321991928	342.7043124800
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Acidovorax.s__Acidovorax_avenae	2874.0820595541	6965.3521839878
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Massilia.s__Massilia_sp_BSC265	2456.8431635229	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Massilia.s__Massilia_sp_LC238	8681.1095423483	6083.1407877214
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Sphingobium.s__Sphingobium_yanoikuyae	17.1361871554	33.0013147952
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	2583.9828377618	4163.7030828210
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|g__Acidovorax.s__Acidovorax_avenae	478.6420434197	1089.3587996635
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	292.1445167690	639.5541001357
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|g__Massilia.s__Massilia_sp_BSC265	755.0749133820	0
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|g__Massilia.s__Massilia_sp_LC238	2692.3300825322	2358.3293151803
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	19.8730822445	51.4608047331
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|unclassified	495.6881809342	912.2084709362
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Acidovorax.s__Acidovorax_avenae	330.4819314307	789.0487822481
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Caulobacter.s__Caulobacter_sp_774	274.9740694813	613.7907320093
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Massilia.s__Massilia_sp_BSC265	1240.7151946711	0
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Massilia.s__Massilia_sp_LC238	2646.2736273971	2419.9488072889
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Sphingobium.s__Sphingobium_yanoikuyae	0	49.4355572895
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|unclassified	532.9718904456	990.0072146894
PWY0-42: 2-methylcitrate cycle I|unclassified	182.2370496571	348.9224623010
PWY0-781: aspartate superpathway|unclassified	377.3405154268	631.5722068581
PWY0-862: (5Z)-dodec-5-enoate biosynthesis|g__Acidovorax.s__Acidovorax_avenae	1390.4425475755	3726.9756005103
PWY0-862: (5Z)-dodec-5-enoate biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	399.6605424927	850.7733594279
PWY0-862: (5Z)-dodec-5-enoate biosynthesis|unclassified	547.6744550753	824.4239306541
PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis|unclassified	0	35.8459823625
PWY3DJ-35471: L-ascorbate biosynthesis IV|g__Massilia.s__Massilia_sp_BSC265	523.5648482126	0
PWY3DJ-35471: L-ascorbate biosynthesis IV|g__Massilia.s__Massilia_sp_LC238	1663.3685326147	1338.8090925150
PWY3DJ-35471: L-ascorbate biosynthesis IV|unclassified	525.2145691402	703.5183601964
PWY3O-355: stearate biosynthesis III (fungi)|unclassified	158.6295081682	224.0064844966
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)|unclassified	259.7215566614	677.8396728017
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)|unclassified	259.7215566614	677.8396728017
PWY5F9-12: biphenyl degradation|unclassified	46.4807101332	0
PWY66-389: phytol degradation|g__Acidovorax.s__Acidovorax_avenae	627.7765224724	1564.6460836104
PWY66-389: phytol degradation|g__Sphingobium.s__Sphingobium_yanoikuyae	18.8013228566	64.0952248168
PWY66-389: phytol degradation|unclassified	3203.9631076229	2638.6521754356
PWY66-391: fatty acid &beta;-oxidation VI (peroxisome)|unclassified	114.6420370262	0
PWY66-398: TCA cycle III (animals)|unclassified	220.1113643349	0
PWY66-399: gluconeogenesis III|unclassified	227.7580157027	343.6455487367
PWY66-400: glycolysis VI (metazoan)|unclassified	491.7916145223	617.7363961027
PWY66-409: superpathway of purine nucleotide salvage|unclassified	292.7156861577	426.1157760797
PWY66-422: D-galactose degradation V (Leloir pathway)|g__Massilia.s__Massilia_sp_BSC265	513.9552398327	0
PWY66-422: D-galactose degradation V (Leloir pathway)|g__Massilia.s__Massilia_sp_LC238	2158.5784856557	1363.8172034245
PWY66-422: D-galactose degradation V (Leloir pathway)|unclassified	869.1428427017	662.9935528101
PWYG-321: mycolate biosynthesis|g__Acidovorax.s__Acidovorax_avenae	1839.0564090889	4800.3050526261
PWYG-321: mycolate biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	380.3253099146	850.4649229387
PWYG-321: mycolate biosynthesis|unclassified	810.1220240864	1226.2335091194
PYRIDNUCSAL-PWY: NAD salvage pathway I|unclassified	165.4155010643	277.3640264430
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Caulobacter.s__Caulobacter_sp_774	246.4945931426	494.3637807667
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Massilia.s__Massilia_sp_BSC265	666.2697832358	0
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|unclassified	800.2308104855	1180.6762972250
REDCITCYC: TCA cycle VIII (helicobacter)|unclassified	159.1227598940	678.6340959487
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Massilia.s__Massilia_sp_BSC265	547.2811249060	0
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Massilia.s__Massilia_sp_LC238	1706.0864758726	1686.7042874832
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Sphingobium.s__Sphingobium_yanoikuyae	14.8876289914	62.7520075764
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|unclassified	679.1059826744	1010.9433004508
RUMP-PWY: formaldehyde oxidation I|unclassified	39.6953985467	0
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|unclassified	546.2280383233	771.5617368252
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	996.4938483565	2242.2270249061
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	285.3728342770	540.9588370397
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	33.8120396949	54.9376448056
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|unclassified	889.9402275154	1164.5754850833
SO4ASSIM-PWY: sulfate reduction I (assimilatory)|g__Acidovorax.s__Acidovorax_avenae	459.6662563751	1236.5287446599
SO4ASSIM-PWY: sulfate reduction I (assimilatory)|g__Caulobacter.s__Caulobacter_sp_774	321.7321904221	549.4213778293
SO4ASSIM-PWY: sulfate reduction I (assimilatory)|g__Sphingobium.s__Sphingobium_yanoikuyae	25.1092599195	118.7198954290
SO4ASSIM-PWY: sulfate reduction I (assimilatory)|unclassified	571.3358246663	869.4555899115
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis|g__Acidovorax.s__Acidovorax_avenae	589.3182233180	1491.8031136263
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis|unclassified	745.9651150000	1063.5520907704
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA|g__Acidovorax.s__Acidovorax_avenae	1059.7496433295	2397.1294588472
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA|g__Sphingobium.s__Sphingobium_yanoikuyae	28.4430767944	72.7058366395
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA|unclassified	492.9865032381	682.2146062701
TCA: TCA cycle I (prokaryotic)|g__Acidovorax.s__Acidovorax_avenae	1326.4049253025	3189.2399472143
TCA: TCA cycle I (prokaryotic)|g__Massilia.s__Massilia_sp_LC238	2523.1521810771	2708.2814366987
TCA: TCA cycle I (prokaryotic)|g__Sphingobium.s__Sphingobium_yanoikuyae	36.7109480560	100.0752359235
TCA: TCA cycle I (prokaryotic)|unclassified	536.7129364784	745.9723359098
